id, category
1, 4WD, Outdoor, Camping & Caravanning
2, Agriculture, Farming & Rural
3, Animals
4, Architecture
5, Art and culture
6, Auto / Cars
7, Aviation
8, Banking
9, Biotechnology
10, Boating & Fishing
11, Body Parts
12, Books & Literature
13, Breaking News Story
14, Building & Construction
15, Business
16, Charity/Aid/Welfare
17, Childcare
18, Clothing
19, Colors
20, Community
21, Defence
22, Disability
23, Economics
24, Education & Training
25, Emergency Services
26, Employment Relations
27, Energy
28, Engineering
29, Entertainment
30, Environment
31, Ethnic
32, Federal
33, Fitness
34, Food & Beverage
35, Foreign affairs & trade
36, Gambling
37, Games & Gaming
38, Geography and places
39, Government
40, Health and fitness
41, History and events
42, Hospitality
43, Human Resources
44, Immigration
45, Indigenous
46, Industrial Relations
47, Information Technology (IT)
48, Insurance
49, LGBTQI
50, Legal
51, Lifestyle
52, Local Government
53, Local News and Stories
54, Manufacturing
55, Marketing & Advertising
56, Mathematics and abstractions
57, Media
58, Medical
59, Men’s Interest’s
60, Natural sciences and nature
61, New South Wales
62, News
63, Nicknames
64, Numbers
65, Oil & Mining
66, People
67, People and self
68, Philosophy and thinking
69, Photography
70, Planets
71, Police, Crime & Courts
72, Property & Real Estate
73, Real stories
74, Relatives
75, Religion
76, Religion and spirituality
77, Research & Development
78, Retail
79, Science
80, Seniors Interests
81, Shows
82, Social sciences and society
83, Sounds
84, Sports
85, Technology
86, Technology and applied sciences
87, Toys
88, Travel & Tourism
89, Veteran Affairs
90, Wedding
91, Women’s interest
92, Words
93, Youth
